projectId,projectName,projectFile,group,formatKey,status,generationMs,issueCount,issues,issueDetails,criticalIssues,warningIssues,infoIssues,hasTextOverflow,hasSafeZoneViolation,hasOverlap,hasContrastWarning,deterministicMatch,previewPath,previewFile,sceneHash,outputHash
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","yandex-market","yandex-market-card","minor","0.56","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-card.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-card.svg","4e3db65e0ef7a6984eb75edd442de6fce0a107afaf55298d5f3303fd87598f29","a145e58fde243fd276729e939d8ab3f59c173fbcedb3fdb3f62f8572d6e1d781"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","yandex-market","yandex-market-banner","minor","0.75","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-banner.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-banner.svg","e297aef003bc894bfb1f4e1dae46fb88452f786b3ff824ac260522c098321678","09927c66a6867ab1b1d10ca2ead17d0c5d2da5772a0c5a0f88437643d8ca7c88"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","yandex-market","yandex-market-stretch","minor","0.86","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-stretch.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-stretch.svg","bf833b1f3387e677b4458bedea6cd0d6d7f9d8b396fcd373a806f2beb20362a1","7855ad7b39c529dc033f5193d223d8acf65a992080168d9c04eb7c98f9e12420"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","yandex-market","yandex-market-vertical","minor","0.56","2","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | title: Title sits on image without scrim","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""} | {""message"":""title: Title sits on image without scrim"",""severity"":""info"",""reason"":""image""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","title: Title sits on image without scrim","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-vertical.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-market-vertical.svg","501d28941201f52868212902d3153ef31b2c1982e7f5a62e5b4a2729154cab4b","c730b51bfbc78cee3e9b3a377093a75be523901463df4d1066d8bc3414d10aa3"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","avito","avito-listing","minor","0.63","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_avito-listing.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_avito-listing.svg","9fba84021297b1dffaf7ad2a8859a40c3b29a0ad1f3b503f8c83b73230eba5a5","76abadd2823e79b310558b59eda265ef6539b7aa2af6001868b03716489189d0"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","avito","avito-fullscreen","minor","0.73","3","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (12.0%)","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""} | {""message"":""image: Image below fold (safe area)"",""severity"":""warning"",""reason"":""safe zone""} | {""message"":""image: outside canvas (12.0%)"",""severity"":""warning"",""reason"":""image""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (12.0%)","","false","true","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_avito-fullscreen.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_avito-fullscreen.svg","03911aa8bfb608cbbcf549101b71a9b1c2add03defc57e99090361cb6ff9a478","1fc13fa48119445609d392ad5e6716814381a1d5fe3a1c04c1a71e43f511dd77"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","avito","avito-skyscraper","minor","0.72","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_avito-skyscraper.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_avito-skyscraper.svg","d2ec37ed5b3c19730fed43593ce7b391bb17d98523262923f26f6faddea434e2","54b8b504d95d69c7d59434b5b719c21aedfd58a90559cf299bf559160b0c5697"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","yandex-rsy","yandex-rsy-240x400","minor","0.78","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-240x400.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-240x400.svg","14ae708c60aaaecd5e38bcc31de993e54be190f40de76504325e8019bbb12753","e97a71af7c5c5537fbc3eedab215ce3e02526aa4fa368ef0abbfe39b5a47a8ec"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","yandex-rsy","yandex-rsy-300x250","minor","0.9","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-300x250.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-300x250.svg","17ab521fa4dd50c202542cbc4748fdb4ac05ff149a068353892c4910763e4b38","13eba624c2b34eacf74429803a969e0e70fdbfef9537caf8b95c27cc86e027e4"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","novyy-proekt","novyy-proekt (1).json","yandex-rsy","yandex-rsy-728x90","minor","0.53","1","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","{""message"":""WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"",""severity"":""warning"",""reason"":""WCAG AA contrast""}","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))","","false","false","false","true","true","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-728x90.svg","38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-728x90.svg","07d2196dadaf37a565cce0bfd2cf0fc1b5854b5a2d49e10261e552d6dab8de20","f074a6fb5e9008ac758d7473f5cd15666deabe83ea99a028ffd68312cce57676"
