projectId,group,formatKey,autoStatus,humanStatus,validatorCorrect,notes,previewPath,criticalIssues,warningIssues
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","yandex-rsy","yandex-rsy-300x250","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-300x250.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","yandex-rsy","yandex-rsy-728x90","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_yandex-rsy-728x90.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","vk","vk-square","minor","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_vk-square.svg","","image: Image below fold (safe area) | image: outside canvas (6.0%)"
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","vk","vk-vertical","minor","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_vk-vertical.svg","","image: Image below fold (safe area) | image: outside canvas (6.0%)"
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","vk","vk-landscape","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_vk-landscape.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","vk","vk-stories","minor","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_vk-stories.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","telegram","telegram-story","minor","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_telegram-story.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","instagram","instagram-story","minor","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_instagram-story.svg","","image: Image below fold (safe area) | image: outside canvas (14.0%)"
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","wildberries","wb-card","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_wb-card.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","wildberries","wb-infographic","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_wb-infographic.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","ozon","ozon-card","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_ozon-card.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","ozon","ozon-fresh-square","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_ozon-fresh-square.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","yandex-market","yandex-market-card","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_yandex-market-card.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","yandex-market","yandex-market-banner","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_yandex-market-banner.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","yandex-market","yandex-market-stretch","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_yandex-market-stretch.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","yandex-market","yandex-market-vertical","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_yandex-market-vertical.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","avito","avito-listing","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_avito-listing.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","avito","avito-fullscreen","minor","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_avito-fullscreen.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","avito","avito-skyscraper","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_avito-skyscraper.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","yandex-rsy","yandex-rsy-240x400","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_yandex-rsy-240x400.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","yandex-rsy","yandex-rsy-300x250","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_yandex-rsy-300x250.svg","",""
"b633729e-4eb9-471e-bc33-6d56b8f8f74e","yandex-rsy","yandex-rsy-728x90","ready","","","","experiment/results/previews/b633729e-4eb9-471e-bc33-6d56b8f8f74e_yandex-rsy-728x90.svg","",""
"31d94236-8f6e-495e-bc3f-063a96b392b6","vk","vk-square","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_vk-square.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (6.0%)"
"31d94236-8f6e-495e-bc3f-063a96b392b6","vk","vk-vertical","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_vk-vertical.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (6.0%)"
"31d94236-8f6e-495e-bc3f-063a96b392b6","vk","vk-landscape","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_vk-landscape.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","vk","vk-stories","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_vk-stories.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (12.0%)"
"31d94236-8f6e-495e-bc3f-063a96b392b6","telegram","telegram-story","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_telegram-story.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (12.0%)"
"31d94236-8f6e-495e-bc3f-063a96b392b6","instagram","instagram-story","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_instagram-story.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (14.0%)"
"31d94236-8f6e-495e-bc3f-063a96b392b6","wildberries","wb-card","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_wb-card.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","wildberries","wb-infographic","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_wb-infographic.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","ozon","ozon-card","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_ozon-card.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","ozon","ozon-fresh-square","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_ozon-fresh-square.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","yandex-market","yandex-market-card","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_yandex-market-card.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","yandex-market","yandex-market-banner","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_yandex-market-banner.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","yandex-market","yandex-market-stretch","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_yandex-market-stretch.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","yandex-market","yandex-market-vertical","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_yandex-market-vertical.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","avito","avito-listing","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_avito-listing.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","avito","avito-fullscreen","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_avito-fullscreen.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (12.0%)"
"31d94236-8f6e-495e-bc3f-063a96b392b6","avito","avito-skyscraper","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_avito-skyscraper.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","yandex-rsy","yandex-rsy-240x400","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_yandex-rsy-240x400.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","yandex-rsy","yandex-rsy-300x250","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_yandex-rsy-300x250.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"31d94236-8f6e-495e-bc3f-063a96b392b6","yandex-rsy","yandex-rsy-728x90","minor","","","","experiment/results/previews/31d94236-8f6e-495e-bc3f-063a96b392b6_yandex-rsy-728x90.svg","","WCAG AA contrast: fail (min ratio 1.18 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","vk","vk-square","minor","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_vk-square.svg","","image: Image below fold (safe area) | image: outside canvas (6.0%)"
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","vk","vk-vertical","minor","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_vk-vertical.svg","","image: Image below fold (safe area) | image: outside canvas (6.0%)"
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","vk","vk-landscape","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_vk-landscape.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","vk","vk-stories","minor","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_vk-stories.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","telegram","telegram-story","minor","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_telegram-story.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","instagram","instagram-story","minor","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_instagram-story.svg","","image: Image below fold (safe area) | image: outside canvas (14.0%)"
